ticker,company,sector,industry,market_cap,roic_5y_avg,roe_5y_avg,gross_margin_5y_avg,operating_margin_5y_avg,fcf_margin_5y_avg,revenue_cagr_5y,eps_cagr_5y,debt_to_equity,interest_coverage,current_ratio,fcf_yield,pe,ev_ebit,shares_change_5y_pct
IDCC,"InterDigital, Inc.",Technology,Software - Application,8212293720,0.1417863166880896,0.27183953052501536,0.8311409875456507,0.39160546123581125,0.3984641100637605,0.18329164210772464,0.6068568378893036,0.4433740191804708,11.532280666633302,1.8444735030604569,0.06436228635037179,20.188966391883323,17.275664300764017,-0.16155246391886624
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Medical - Diagnostics & Research,54187346880,0.3626029499418938,0.7961584760420665,0.6018803848819232,0.2923951129253086,0.19509892266020562,0.07560582825023832,0.11052240049905171,0.6710006272646465,35.542427806089115,1.1666501278710044,0.019439796569719045,51.36902050113895,40.50237816638003,-0.059906103286385015
IESC,"IES Holdings, Inc.",Industrials,Engineering & Construction,7920179161.95,0.20591932774678798,0.24684795496999454,0.2036104328978912,0.07336517443515136,0.04033602684604711,0.21708698794428938,0.47654168584878454,0.1783529704566409,211.42723263506065,1.7136612211648363,0.027631066864164146,26.12680683311432,20.730281574405065,-0.04198321842962682
IEX,IDEX Corporation,Industrials,Industrial - Machinery,13398882000,0.10419633130553876,0.15496099137469047,0.4796514483037567,0.22708123482222176,0.17725913077480066,0.057485976896381574,0.021810064106145166,0.4589944134078212,11.180124223602485,2.8557525199860967,0.04603369146769111,27.7597503900156,20.371502777777778,-0.009210526315789447
IFF,International Flavors & Fragrances Inc.,Basic Materials,Chemicals - Specialty,17251840000,-0.008967773841084718,-0.055327805270741624,0.339102903551976,-0.019239335651830496,0.04758622887680215,-0.016850448916449268,,0.4699025010597711,3.6768558951965065,1.42232392575642,0.014838996883810655,-46.157534246575345,27.687458432304037,0.053497942386831365
ILMN,"Illumina, Inc.",Healthcare,Medical - Diagnostics & Research,20844400000,-0.11088021620434518,-0.2003477119745237,0.6551459272092256,-0.23350612739729987,0.10739539576438886,-0.01055023540441602,0.01923958192161157,0.9375688578773411,8.554455445544555,2.0750788643533125,0.044664274337471936,24.540145985401455,25.43912037037037,0.03333333333333344
IMVT,,,,4531343427.72,-0.516760490865155,-0.5026724119617708,0.0,0.0,,,,8.444836451667386e-05,0,9.086389841221198,-0.08988901558603492,-8.967509025270758,,0.6632245663664968
INCY,Incyte Corporation,Healthcare,Biotechnology,19280299080,0.10348428952208458,0.14063256672754465,0.9346998816239072,0.16656704654297197,0.17937390842356088,0.14547298956409715,0.10689783658108509,0.013435567601835945,553.0436573311367,3.31573486803461,0.07025985408106024,14.987860394537178,12.103091384356452,-0.11443192334912078
INGM,Ingram Micro Holding Corporation,Technology,Information Technology Services,5197882317.0199995,0.1270105471309475,0.24159497070434507,0.07209083066331289,0.02680903913551888,-0.003487202542637255,-0.008835957590045518,-0.08921502468341302,0.8611972739028975,3.093925170360143,1.33328628498493,0.15109480209437728,15.807142857142857,7.464714246843565,0.0002294170838228471
INGR,Ingredion Incorporated,Consumer Defensive,Packaged Foods,7078692000,0.0903549405727003,0.14115024552503472,0.21793885295894694,0.1041269182662157,0.0618145099315389,0.011582809978612607,0.5944060186925775,0.4126325495620101,28.027027027027028,2.6633738601823707,0.07218847775832032,9.705985915492958,7.559008678881389,-0.04321906174693091
